year,oil_mean,oil_max,oil_min,wheat_mean,wheat_max,wheat_min,maize_mean,maize_max,maize_min,barley_mean,barley_max,barley_min,sorghum_mean,sorghum_max,sorghum_min,rice_mean,rice_max,rice_min,barley_production,buckwheat_production,maize_production,millet_production,oats_production,rice_production,rye_production,sorghum_production,wheat_production
2000,28.229719444445834,32.331,23.47,114.08749999999999,128.18,105.11,88.53416666666668,97.56,75.27,77.23416666666667,86.6,73.13,88.00333333333333,100.45,73.72,202.39583333333334,241.4,179.0,6919370.0,65000.0,251853900.0,166010.0,2165120.0,8657810.0,213010.0,11951910.0,60639376.0
2001,24.351825004292497,27.54682539683,18.51978947368,126.80833333333334,134.86,121.92,89.64083333333333,95.15,83.31,93.93666666666667,102.86,82.31,95.23333333333333,101.08,89.54,172.83833333333334,184.5,163.75,5406730.0,67361.58,241376650.0,440100.0,1706990.0,9764480.0,175170.0,13057220.0,52999932.0
2002,24.927748381805,28.28079365079,19.15481240981,148.07750000000001,190.32,121.46,99.27083333333333,114.14,87.13,108.96749999999999,120.99,95.82,101.74166666666667,117.01,88.74,191.87333333333333,202.67,186.25,4940300.0,69033.84,227766880.0,83190.0,1683760.0,9568990.0,164800.0,9162530.0,43703968.0
2003,28.898903189480833,32.88337719298,25.55596825397,146.1431,165.5735,131.3528,105.37007583333333,111.1555,96.80591,104.74049416666666,115.5,88.07,106.53460166666667,116.7953,89.77213,197.61666666666667,203.4,193.4,6058900.0,69135.26,256229020.0,259680.0,2095710.0,9067180.0,219310.0,10445440.0,63803256.0
2004,37.73338770303584,46.88111111111,31.33133333333,156.88168008749,166.58442673929,141.29480849743,111.80347966666666,133.496888,93.74505,98.988547595,114.0480505,85.37146881,109.77573576342583,130.17056311111,90.69255525,237.66666666666666,278.25,212.75,6090680.0,67923.41,299875570.0,341670.0,1679310.0,10539760.0,209690.0,11522120.0,58697040.0
2005,53.39102459679166,61.89052042161,42.97227777778,152.35059374973665,167.826712725,140.87698047857,98.67179116666667,107.52385,94.13873,95.07712917583335,103.0139082,87.37563362,96.2154345472225,105.601298,89.97605375,286.2708333333333,297.25,276.75,4613490.0,66093.76,282262550.0,310030.0,1667170.0,10107540.0,191450.0,9976030.0,57241992.0
2006,64.28825914020084,72.4501336675,57.91046897547,192.04335668599833,212.09408658214,167.16073370625,121.85101775,164.538556,102.65206,116.61509517500001,150.9675787,100.3758447,122.9392564125,170.61003025,100.640903,304.87638888888915,315.4,291.25,3922630.0,66000.0,267502850.0,231220.0,1357470.0,8826230.0,182710.0,7031650.0,49216040.0
2007,71.11655901006417,91.33826118326,53.51696969697,255.20611049679835,368.62006231324,195.7212822,163.66491446666666,180.2542616,146.84264,172.38121729166664,198.9344557,151.0319169,162.69360726666665,187.00909612,138.4721822,326.431944444445,360.66666666667,313.0,4574610.0,68000.0,331177280.0,383290.0,1312590.0,8998730.0,160310.0,12635690.0,55820360.0
2008,96.99045375846417,132.82518445323,41.33892496393,326.03004623959333,439.71609184875,220.1354096,223.11682773333334,287.110824,158.25936,200.51552770252167,248.14718443814,115.17666870908,207.83070253341668,262.19325198,138.60005016,650.1875,907.0,375.6,5205180.0,83000.0,305911450.0,337470.0,1307090.0,9241170.0,211210.0,12087270.0,68016096.0
2009,61.75692221550833,77.5523015873,41.8436754386,224.06988173743414,261.48173459625,191.09332947857,165.50963333333334,179.91176,150.38576,128.32218617003,155.25198187996,103.46648361803,151.05413225833334,166.34519286,133.80059242,554.9930555555558,591.0,493.0,4933700.0,84978.07,331921050.0,201280.0,1321490.0,9972230.0,172500.0,9693210.0,60365728.0
2010,79.0407717847175,90.00596179183,74.5794011544,223.58210540486252,306.5201043804,157.67209847046,185.91420833333333,250.38048,152.74784,158.38666512309334,189.64090120531,137.37599107534,165.40389885642833,221.57092386,130.97867882,488.90694444444415,568.8,440.0,3924280.0,79771.74,315617920.0,261610.0,1188140.0,11027010.0,190000.0,8775190.0,60062408.0
2011,104.00939752552584,116.24316666667,92.6905952381,316.2641325585392,355.27788556364,269.0300071375,291.68407333333334,319.27448,258.64776,207.19691870517082,215.53213093132,195.20185783871,268.74793870115917,302.52658317391,246.31778336,543.0291666666667,615.25,481.4,3370110.0,79617.77,312788890.0,207500.0,727580.0,8388780.0,153700.0,5410270.0,54418808.0
2012,105.00962888487668,117.785,90.72825396825,313.24226961106837,360.8228394,264.35872401848,298.41696413768085,333.05328,267.30872,240.28063808774667,265.69345366667,210.55817656619,271.9300848591258,289.025682,254.854072,562.9833333333333,600.5,537.5,4767940.0,82000.0,273192400.0,69740.0,892470.0,9069080.0,166170.0,6292940.0,61677384.0
2013,104.0774974975875,108.75773015873,98.85196969697,312.2478668979183,335.4697071,291.55664720357,259.38922323787915,309.0388,197.391152,203.00875833333248,239.752425,155.7012875,243.28292474064915,296.741852,195.23082029579,505.89166666666665,564.2,438.0,4719070.0,81000.0,351271870.0,418120.0,938280.0,8616120.0,193710.0,9965670.0,58104610.0
2014,96.235,108.37333333333,60.70333333333,284.8859214,334.7348337,243.6105321,192.88121953333334,222.3583376,163.0583192,145.90297638888916,181.88115,105.63804166667,210.39423533333334,234.351106,180.558378,422.8333333333333,459.0,388.0,3952610.0,83000.0,361091140.0,305790.0,1019410.0,10079500.0,182610.0,10987910.0,55147120.0
2015,50.752777777778334,62.50666666667,36.57333333333,204.449128614,248.3872092,172.695249,169.75022306666668,179.596816,162.5937768,121.33064930555668,129.06212916667,109.77170416667,201.63087083333335,227.737246,169.094354,386.0,420.0,357.0,4665770.0,83290.62,345486340.0,321120.0,1299600.0,8724530.0,292010.0,15158170.0,55839540.0
2016,42.811944444445,52.62,29.78,166.63254345,193.2717042,141.8305662,159.1608872,179.872392,148.4252336,103.91568229166751,118.498325,89.5626875,155.5910565,166.669272,144.292379,396.1666666666667,442.0,365.0,4352610.0,83391.24,412262180.0,341770.0,938070.0,10167050.0,290379.0,12199190.0,62831507.0
2017,52.80499999999916,61.18666666667,46.16666666667,174.195615525,202.4576217,153.2211039,154.53153846666666,162.8575424,147.2914352,97.63863923611082,119.8762125,91.85916666667,163.02246308333335,175.157059,149.803929,398.9166666666667,458.0,367.0,3119070.0,82815.02,371096030.0,337680.0,719720.0,8084290.0,260410.0,9191950.0,47379810.0
2018,68.34750000000084,76.72666666667,53.96,209.9288346,236.6292348,192.1693941,164.4145468,179.085032,154.8028496,125.88533298611252,130.8993125,119.41691666667,168.58912858333335,187.3927,147.489078,420.6666666666667,451.0,398.0,3342660.0,84648.46,364262150.0,262970.0,814720.0,10152890.0,214180.0,9271070.0,51305540.0
2019,61.40749999999917,68.57666666667,56.58333333333,201.692128575,218.9922732,181.1462931,170.07008806666667,195.0802504,157.2594128,128.06698819444333,149.27114583333,114.82395833333,161.50678683333334,170.417126,147.930002,418.0,432.0,406.0,3755720.0,85802.84,345962110.0,376660.0,773040.0,8396180.0,269810.0,8673480.0,52580890.0
2020,41.25777777777834,61.62666666667,21.04333333333,231.56548795,273.0,198.415818,165.46600046666666,198.769032,143.9057872,97.60036458332999,114.82395833333,80.37677083333,171.5745515,189.487089,164.133959,496.75,564.0,450.0,3719010.0,85299.82,358447310.0,217110.0,953550.0,10319860.0,292930.0,9473620.0,49751180.0
2021,69.070555555555,82.06333333333,53.60333333333,315.2375,379.45,273.13,259.54567977893333,305.3106504,234.4679501472,,,,,,,458.25,557.0,400.0,2625600.0,84963.33,381469380.0,348860.0,578220.0,8665970.0,249130.0,11374900.0,44803690.0
2022,97.10138888888918,116.8,78.06666666667,429.97166666666664,522.29,374.24,318.80665693333333,348.1666552,276.6231888,,,,,,,436.75,467.0,418.0,3786660.0,85630.3,346739460.0,207700.0,837060.0,7259340.0,316320.0,4769960.0,44897830.0
2023,80.7556944444425,92.22,73.26333333333,340.43,394.75,283.55,252.65528515370417,302.7753512,206.54803944445,,,,,,,553.6666666666666,644.0,476.0,4028680.0,86047.55,389694460.0,443890.0,828010.0,9901510.0,263540.0,8071090.0,49313930.0
2024,78.7337222222225,88.01133333333,72.29166666667,268.67333333333335,289.42,250.85,190.60477617364998,202.59757,170.32475727273,,,,,,,588.4166666666666,660.0,511.0,3131660.0,86536.06,377632690.0,318900.0,984010.0,10075780.0,374130.0,8734190.0,53650020.0
