crop,model,MAE,RMSE,R2
Wheat,Linear Regression,16.182512855371552,19.739338325149127,0.18674815458002825
Maize,Linear Regression,7.042937755573789,7.311674009441988,-0.7316151179570498
Barley,Linear Regression,20.09033703442182,22.814301943101796,-2.0738476399497547
Sorghum,Linear Regression,17.321730998716102,18.626971691488425,-0.5619525828734355
Rice,Linear Regression,8.700553577863133,11.536931992821193,0.9009359549907725
Wheat,"ARIMA(0, 2, 1)",101.80143326713514,121.71109770097412,
Maize,"ARIMA(0, 2, 2)",58.98207299035016,77.57962918593734,
Barley,"ARIMA(2, 2, 2)",69.56285335915084,76.50508846404648,
Sorghum,"ARIMA(0, 2, 3)",113.5044863183891,114.83765912813439,
Rice,"ARIMA(0, 2, 1)",60.76111862886594,72.20853763423617,
Wheat,Random Forest,28.533737997896708,31.48472693479158,-1.0689964143733208
Maize,Random Forest,6.721718813500449,8.010314913761494,-1.0783414951134818
Barley,Random Forest,29.71500283374252,31.294737204861914,-4.783764283019292
Sorghum,Random Forest,11.006394874361945,17.68588593297229,-0.4081112745440081
Rice,Random Forest,26.483135648148117,34.70185451141367,0.1037260758930808
